117 100 421 | 105 96
117 100 258 | 80 91
117 100 492 | 83 90
109 99 700 | 105 96
117 100 355 | 105 96
109 99 228 | 87 93
117 100 39 | 92 95
117 100 699 | 91 91
109 99 247 | 91 91
109 99 272 | 89 98
109 99 1150 | 99 97
117 100 912 | 109 99
117 100 681 | 98 93
117 100 1197 | 97 95
117 100 1362 | 97 95
117 100 68 | 117 100
117 100 1310 | 117 100
117 100 1008 | 98 93
117 100 350 | 80 91
117 100 196 | 79 85
117 100 976 | 91 91
117 100 237 | 77 86
117 100 465 | 117 100
117 100 1288 | 78 98
109 99 52 | 97 95
109 99 843 | 98 93
117 100 305 | 117 100
117 100 1408 | 103 95
117 100 411 | 105 96
117 100 917 | 109 99
117 100 1721 | 117 100
117 100 510 | 79 85
117 100 854 | 99 97
117 100 1107 | 105 96
109 99 686 | 106 100
117 100 836 | 90 92
109 99 10 | 105 96
117 100 786 | 105 96
117 100 100 | 105 96
117 100 883 | 89 98
117 100 347 | 117 100
117 100 205 | 106 100
117 100 1107 | 106 100
117 100 154 | 85 100
117 100 1194 | 84 88
109 99 1477 | 99 97
109 99 225 | 91 91
117 100 1077 | 117 100
117 100 1274 | 89 98
117 100 1611 | 109 99
117 100 1561 | 98 93
117 100 520 | 103 95
117 100 57 | 109 99
117 100 27 | 105 96
117 100 709 | 91 91
117 100 729 | 79 85
117 100 729 | 91 91
117 100 263 | 117 100
117 100 199 | 97 95
117 100 442 | 117 100
117 100 305 | 98 93
117 100 631 | 117 100
117 100 964 | 91 91
117 100 854 | 106 100
117 100 570 | 105 96
117 100 204 | 91 91
117 100 1047 | 105 96
117 100 1665 | 103 95
109 99 1800 | 109 99
117 100 718 | 89 98
117 100 531 | 92 95
117 100 1333 | 105 96
117 100 1163 | 117 100
117 100 619 | 117 100
117 100 539 | 109 99
117 100 312 | 91 91
109 99 110 | 84 88
117 100 1467 | 105 96
117 100 712 | 106 100
117 100 659 | 106 100
117 100 515 | 103 95
117 100 179 | 117 100
117 100 431 | 105 96
117 100 377 | 117 100
117 100 1028 | 83 90
117 100 1316 | 98 93
117 100 1539 | 91 91
117 100 283 | 103 95
117 100 5 | 91 91
117 100 495 | 105 96
109 99 34 | 90 92
