117 100 78 | 85 100
97 95 36 | 87 93
117 100 381 | 117 100
117 100 258 | 99 97
117 100 670 | 117 100
117 100 552 | 76 69
106 100 124 | 91 91
109 99 233 | 77 81
117 100 0 | 105 96
109 99 521 | 105 96
117 100 38 | 103 95
109 99 535 | 98 93
105 96 603 | 83 90
117 100 323 | 79 85
117 100 493 | 106 100
117 100 212 | 89 98
117 100 238 | 76 69
109 99 476 | 90 92
105 96 28 | 98 93
117 100 330 | 84 88
99 97 49 | 97 95
99 97 332 | 97 95
91 91 34 | 77 86
117 100 596 | 117 100
106 100 128 | 105 96
117 100 248 | 106 100
109 99 136 | 87 93
109 99 522 | 106 100
117 100 236 | 77 81
117 100 110 | 97 95
117 100 464 | 99 97
109 99 295 | 109 99
117 100 460 | 77 81
109 99 383 | 83 90
98 93 295 | 73 88
117 100 53 | 84 88
117 100 555 | 77 81
91 91 348 | 77 86
109 99 469 | 99 97
91 91 344 | 87 93
117 100 448 | 91 91
117 100 729 | 117 100
117 100 210 | 105 96
105 96 10 | 79 85
